permiso,razon_social,categoria,lat,lng,coordenadas,precio_mediano
PL/425/EXP/ES/2015,"Petromax, S.A. de C.V.",Petromax precio mercado,25.7197,-100.359,"25.7197,-100.359",23.99
PL/426/EXP/ES/2015,"Petromax, S.A. de C.V.",Petromax precio mercado,25.60693,-100.2683,"25.60693,-100.2683",23.99
PL/427/EXP/ES/2015,"Petromax, S.A. de C.V.",Petromax precio mercado,25.67366,-100.3682,"25.67366,-100.3682",23.99
PL/428/EXP/ES/2015,"Petromax, S.A. de C.V.",Petromax precio mercado,25.75267,-100.1985,"25.75267,-100.1985",23.99
PL/432/EXP/ES/2015,"Petromax, S.A. de C.V.",Petromax precio mercado,25.68003,-100.2656,"25.68003,-100.2656",23.99
PL/433/EXP/ES/2015,"Petromax, S.A. de C.V.",Petromax precio mercado,25.71057,-100.2634,"25.71057,-100.2634",23.99
PL/437/EXP/ES/2015,"Petromax, S.A. de C.V.",Petromax precio mercado,25.62543,-100.1731,"25.62543,-100.1731",23.99
PL/439/EXP/ES/2015,"Petromax, S.A. de C.V.",Petromax precio mercado,25.77202,-100.2918,"25.77202,-100.2918",23.99
PL/441/EXP/ES/2015,"Petromax, S.A. de C.V.",Petromax precio mercado,25.70874,-100.2766,"25.70874,-100.2766",23.99
PL/444/EXP/ES/2015,"Petromax, S.A. de C.V.",Petromax precio mercado,25.66751,-100.3207,"25.66751,-100.3207",23.99
PL/447/EXP/ES/2015,"Petromax, S.A. de C.V.",Petromax precio mercado,25.67901,-100.4386,"25.67901,-100.4386",23.99
PL/448/EXP/ES/2015,"Petromax, S.A. de C.V.",Petromax precio mercado,25.81873,-100.2944,"25.81873,-100.2944",23.99
PL/450/EXP/ES/2015,"Petromax, S.A. de C.V.",Petromax precio mercado,25.78579,-100.1586,"25.78579,-100.1586",23.99
PL/451/EXP/ES/2015,"Petromax, S.A. de C.V.",Petromax precio mercado,25.73641,-100.2083,"25.73641,-100.2083",23.99
PL/455/EXP/ES/2015,"Petromax, S.A. de C.V.",Petromax precio mercado,25.68477,-100.4806,"25.68477,-100.4806",23.99
PL/458/EXP/ES/2015,"Petromax, S.A. de C.V.",Petromax cara,25.70878,-100.1629,"25.70878,-100.1629",24.24
PL/461/EXP/ES/2015,"Petromax, S.A. de C.V.",Petromax precio mercado,25.69495,-100.1733,"25.69495,-100.1733",23.99
PL/462/EXP/ES/2015,"Petromax, S.A. de C.V.",Petromax precio mercado,25.73667,-100.2444,"25.73667,-100.2444",
PL/463/EXP/ES/2015,"Petromax, S.A. de C.V.",Petromax precio mercado,25.65684,-100.1361,"25.65684,-100.1361",23.99
